1,89
2,648
3,153
4,269
5,276
6,341
7,1053
8,659
9,352
10,371
11,352
12,348
13,975
14,211
15,434
16,595
17,327
18,1000
19,942
20,661
21,533
22,1342
23,1453
24,1320
25,343
26,402
27,1626
28,999
29,245
30,939
31,856
32,1773
33,1985
34,1126
35,649
36,1408
37,787
38,667
39,1909
40,1989
41,821
42,2659
43,2717
44,1921
45,2311
46,2312
47,1308
48,1771
49,2677
50,3028
51,1841
52,2633
53,3610
54,3323
55,3520
56,3814
57,3315
58,4112
59,3579
60,4298
61,3203
62,4752
63,4237
64,3403
65,4567
66,4388
67,4785
68,4689
69,5184
70,4731
71,5423
72,4347
73,5213
74,6210
75,5053
76,6744
77,5501
78,5529
79,6205
80,5703
81,6083
82,5755
83,6198
84,6535
85,7105
86,6615
87,6930
88,6947
89,7776
90,7479
91,7302
92,7322
93,7566
94,8991
95,8309
96,8079
97,8129
98,8103
99,8158
100,8787
